項目,Mac,Win/WSL,内容
Figma,cmd + /,-,クイックアクション(≒コマンドパレット)
GitHub,option + クリック,alt + クリック,トグル(show resolved・fileのviewedなど)の全開閉切り替え
Google Chrome,Esc,-,(ディベロッパーツールで)コンソールドロワーのON/OFF
Google Chrome,F7,-,CaretブラウジングON/OFF切替
Google Chrome,cmd + +/-,-,拡大/縮小
Google Chrome,cmd + (カンマ),-,設定
Google Chrome,cmd + 0,-,倍率を戻す
Google Chrome,cmd + y,-,履歴表示
Google Chrome,cmd + [],-,(ディベロッパーツールで)フォーカスの移動
Google Chrome,cmd + shift + a,-,タブ一覧表示
Google Chrome,cmd + shift + d,-,(ディベロッパーツールで)ウィンドウの方向切り替え
Google Chrome,cmd + shift + m,-,(通常で)プロファイル選択
Google Chrome,cmd + shift + m,-,(ディベロッパーツールで)PC/SPの表示切り替え
Google Chrome,cmd + shift + p,ctrl + shift + p,(ディベロッパーツールで)コマンドパレット
Google Chrome,cmd + shift + r,ctrl + shift + r|shift + F5,ハード再読込(キャッシュ削除&ハード再読込は「開発者ツールを開いた状態で」再読込右クリック)
Google Chrome,cmd + shift + t,-,ウィンドウの復元
Google Chrome,cmd + shift + w,-,ウィンドウを閉じる
Google Chrome,cmd + shift + y,-,テキストの翻訳 ※カスタム
Google Chrome,cmd + shift + ↓,-,one tabに格納 ※カスタム
Google Chrome,cmd + option + c/cmd + shift + c,ctrl + shift + c,DOMツールでディベロッパーツールの表示
Google Chrome,cmd + option + j,ctrl + shift + j,JavaScriptコンソールでディベロッパーツールの表示
Google Chrome,cmd + option + i/F12,-,ディベロッパーツールの表示
Google Chrome,cmd + option + u,ctrl + u,ソースコードの表示
Google Chrome,ctrl + l,ctrl + l,(ディベロッパーツールで)コンソールログ消去
Google Chrome,ctrl + g,-,タブをグループ化 ※カスタム
Google Chrome,ctrl + p,-,タブを固定 ※カスタム
Google Chrome,ctrl + shift + fn + ↑↓,-,現在のタブを左/右に移動
Googleスプレッドシート,入力 → shift + 矢印 → cmd + Enter,-,一括入力
Googleスプレッドシート,option + ↑↓,-,シート切替
iTerm2,cmd + d,-,画面を左右に分割
iTerm2,cmd + shift + d,-,画面を上下に分割
iTerm2,cmd + [],-,分割画面の移動
iTerm2,option + space,-,ホットキー起動
Mirror-QWERTY,cmd + space + ;,ctrl + 変換 + ;,cmd(ctrl) + a(全選択)
Mirror-QWERTY,cmd + space + (カンマ),ctrl + 変換 + (カンマ),cmd(ctrl) + c(コピー)
Mirror-QWERTY,cmd + space + j,ctrl + 変換 + j,cmd(ctrl) + f(検索)
Mirror-QWERTY,(cmd + )space + u,(ctrl + )変換 + u,(cmd/ctrl +) r(リロード)
Mirror-QWERTY,cmd + space + o,ctrl + 変換 + o,cmd(ctrl) + w(閉じる)
nnn,e,e,ファイル編集[e=edit]
nnn,n → f/d,n → f/d,ファイル/ディレクトリ等作成[n=new][f=file][d=directory]
nnn,o → commnad →g/c,o → commnad →g/c,ファイルを開く(command例=vim.open)[o=open/g=gui/c=cli]
nnn,q|Q,q|Q,閉じる[q=quit]
nnn,r,r,ファイル名変更[r=rename]
nnn,t,t,ソート[a=ascend/d=desend/t=time/s=size/e=exe]
nnn,v,v,ファイル移動[v=move]
nnn,enter,enter,ファイルを開く
nnn,space,space,ファイル複数選択
Notion,Esc,Esc,ブロック選択
Notion,-,ctrl + \,サイドメニュー開閉
Notion,cmd + /,-,編集画面表示
Notion,cmd + p,ctrl + p,ページジャンプ
Notion,cmd + [],ctrl + [],進む/戻る
Notion,cmd + Enter,-,カーソルブロックを操作(ページを開く・ToDoオンオフ・トグル開閉)
Notion,cmd + shift + u,ctrl + shift + u,一つ上の階層に行く
OneNote,-,ctrl + g,ノートブックを切替
OneNote,-,ctrl + shift + g,セッション(タブのようなもの)にフォーカス
OneNote,-,ctrl + alt + g,ページにフォーカス
OneNote,-,ctrl + fn + ↑↓,ページの上下移動
OS(Mac),ctrl + F1,-,VoiceOverのオンオフ ※カスタム
OS(Mac),ctrl + F2,-,メニューバー操作
OS(Mac),ctrl + F3,-,Dock操作
OS(Mac),ctrl + F8,-,(右上の)ステータスメニュー操作
OS(Mac),ctrl + shift + F1,-,アクセシビリティコントロールの表示 ※カスタム
OS(Mac),ctrl + shift + ←→,-,(Mission Control) 左右の仮装ディスプレイに切替 カスタム
OS(Mac),ctrl + ←/→,Win + ←→,ウィンドウ左/右半分 ※MacはRectangleのカスタム
OS(Mac),ctrl + ↓,-,ウィジェット表示 ※カスタム
OS(Mac),ctrl + shift + ←/→,-,ウィンドウ2/3にして左/右寄せ ※Rectangleのカスタム
OS(Mac),ctrl + ;/-,-,ウィンドウ拡大/縮小 ※Rectangleのカスタム
OS(Mac),cmd + d,-,保存しない（ファイル保存時のダイアログ）
OS(Mac),cmd + m,Win + ↓,ウィンドウ最小化
OS(Mac),cmd + shift + 4,Win + shift + s,スクリーンショット：一部撮影
OS(Mac),cmd + shift + 5,-,スクリーンショット：コントロール表示
OS(Mac),cmd + shift + .,-,隠しファイルを表示
OS(Mac),cmd + shift + space,-,文字ビューア(絵文字)を表示
OS(Mac),cmd + ctrl + q,Win + l,画面のロック
OS(Mac),cmd + ctrl + f,-,フルスクリーン
OS(Mac),cmd + space,-,スポットライト起動
OS(Mac),option + 1,-,（Mission Control）仮装ディスプレイ1に切替 ※カスタム
OS(Mac),option + 2,-,（Mission Control）仮装ディスプレイ2に切替 ※カスタム
OS(Mac),option + Tab,-,ウィンドウの移動(次のウィンドウを捜査対象とする) ※カスタム
OS(Mac),option + cmd + Esc,-,アプリ強制終了
OS(Win),-,ctrl + tab,同じアプリ間でウインドウの切替
OS(Win),-,ctrl + shift + Esc,タスクマネージャーを表示
OS(Win),-,alt + tab,ウインドウの切替
OS(Win),-,Win + a,タスクトレイの表示
OS(Win),-,Win + b,隠れているタスクトレイにフォーカス
OS(Win),-,Win + d(Win + M),デスクトップの表示
OS(Win),-,Win + e,新規エクスプローラを開く
OS(Win),-,Win + i(Win + u),設定メニューを開く
OS(Win),cmd + ctrl + q,Win + l,画面のロック
OS(Win),-,Win + p,ディスプレイ設定
OS(Win),-,Win + q(Win + s),スタートメニュー(検索)の表示
OS(Win),-,Win + r,ファイル名を指定して実行
OS(Win),-,Win + t,タスクバーの選択
OS(Win),-,Win + x,スタートメニュー(右クリック)の表示
OS(Win),ctrl + ←/→,Win + ←→,ウィンドウ左/右半分 ※MacはRectangleのカスタム
OS(Win),cmd + m,Win + ↓,ウィンドウ最小化
OS(Win),-,Win + tab,タスクビューの表示
OS(Win),cmd + shift + 4,Win + shift + s,スクリーンショット：一部撮影
OS(Win),-,Win + shift + ←→,ディスプレイ間でウインドウを移動
Raycast,cmd + カンマ,-,Raycastの設定画面起動
Raycast,option + b,-,Raindropの検索
Raycast,option + e,-,絵文字の検索
Raycast,option + t,-,Arcのタブ検索
Raycast,option + ←→,-,windowの
Raycast,option + space,-,Raycastの起動
Sticky,cmd + m,-,折りたたみ・展開
Slack,cmd + r,ctrl + r,再読み込み
Slack,cmd + t,ctrl + t,ページ移動
Slack,cmd + [],alt + [],履歴を進む/戻る
Slack,cmd + .,ctrl + .,右サイドバーを表示/非表示
Slack,cmd + shift + a,ctrl + shift + a,未読のダイアログを表示
Slack,cmd + shift + c,ctrl + shift + c,コード表示
Slack,cmd + shift + d,ctrl + shift + d,左サイドバーを表示/非表示
Slack,cmd + shift + t,ctrl + shift + t,スレッドへ移動
Slack,cmd + shift + y,ctrl + shift + y,ステータス変更
Slack,cmd + ctrl + ←→,-,セクション切り替え
Slack,option + ↑↓,alt + ↑↓,前/次のチャンネルへ移動
Slack,option + shift + ↑↓,alt + shift + ↑↓,未読の前/次のチャンネルへ移動
Slack,F6/shift + F6,-,次/前のセクションにフォーカス
Thunderbird,-,shift + c,メールを全て既読にする
Thunderbird,-,shift + F5,全てのアカウントの新着メールを受信
Tmux,ctrl + b → c [cmd + t],ctrl + b → c,ウィンドウの作成
Tmux,ctrl + b → d [cmd + shift + w],ctrl + b → d,ウィンドウのデタッチ
Tmux,ctrl + b → e [cmd + e],ctrl + b → e,synchronize-panesのON/OFF ※カスタム
Tmux,ctrl + b → hjkl [cmd + ←↓↑→],ctrl + b → hjkl,上下左右にペイン移動 ※カスタム
Tmux,ctrl + b → pn [cmd + shift + [] ],ctrl + b → pn,前後のウィンドウに移動
Tmux,ctrl + b → s [cmd + l],ctrl + b → s,ペイン一覧表示
Tmux,ctrl + b → r [cmd + shift + r],ctrl + b → r,tmux.confの再読込 ※カスタム
Tmux,ctrl + b → w [cmd + shift + l],ctrl + b → w,ウィンドウ一覧表示
Tmux,ctrl + b → x [cmd + w],ctrl + b → x,ウィンドウの破棄
Tmux,ctrl + b → z [cmd + z],ctrl + b → d,ペインの一時拡大/縮小
Tmux,ctrl + b → {} [cmd + shift + alt + ↑↓],ctrl + b → {},ペインを前後に入れ替え
Tmux,ctrl + b → (ダブルクォート) [cmd + d],ctrl + b → (ダブルクォート),ペインを左右に分割
Tmux,ctrl + b → % [cmd + shift + d],ctrl + b → %,ペインを上下に分割
Tmux,ctrl + b → [ [cmd + c],ctrl + b → [,コピーモード
Tmux,ctrl + b → ctrl + hjkl [cmd + shift + ←↓↑→],ctrl + b → ctrl + hjkl,上下左右にペインを広げる ※カスタム
Tmux,ctrl + b → ctrl + p [cmd + p],ctrl + b → ctrl + p,popup windowの起動 ※カスタム
Tmux,ctrl + b → ctrl + r [cmd + r],ctrl + b → ctrl + r,tmux-resurrect、ウィンドウの復元
Tmux,ctrl + b → ctrl + s [cmd + s],ctrl + b → ctrl + s,tmux-resurrect、ウィンドウの保存
Vim,a,a,カーソル直後からインサートモード[add]
Vim,cc,cc,カーソルのある行を削除してインサートモード
Vim,d,d,選択範囲を切り取り
Vim,dd,dd,カーソルのある行を削除する
Vim,b|B,b|B,1単語前にカーソル移動、(スペース区切りで)1単語前にカーソル移動
Vim,e|E,e|E,カーソル位置の最後/次の単語の最後に移動
Vim,f|F<文字>,f|F<文字>,行内でカーソル前/後の指定文字に移動、;|次の候補に移動
Vim,gg,gg,ファイルの先頭に移動
Vim,G,G,ファイルの末尾に移動
Vim,gj|gk,gj|gk,(エディタ上で折り返されていても)上下に移動
Vim,i,i,インサートモード
Vim,p|P,p|P,カーソルの下/上行に貼り付け
Vim,s,s,カーソル位置の文字を消してインサートモード
Vim,u,u,変更を元に戻す(undo)
Vim,v,v,ビジュアルモード、(ビジュアルモードで)選択範囲開始
Vim,V,V,行選択のビジュアルモード
Vim,w|W,w|W,1単語次にカーソル移動、(スペース区切りで)1単語次にカーソル移動
Vim,x,x,カーソル上の文字を削除
Vim,y,y,選択範囲をコピー
Vim,yy,yy,1行をコピー
Vim,ZQ,ZQ,保存せずに終了
Vim,ZZ,ZZ,保存して終了
Vim,=,=,カーソル行をインデント
Vim,>>|<<,>>|<<,カーソル行を前/後ろにインデント
Vim,0,0,行の先頭に移動(インデントも無視する)
Vim,^|$,^|$,行の先頭/末尾に移動
Vim,-|+,-|+,前/次の行の先頭に移動
Vim,{|},{|},前/次の段落に移動
Vim,A,A,(矩形選択で)選択末尾にインサートモード
Vim,c,c,(矩形選択で)選択範囲を削除してインサートモード
Vim,d,d,(矩形選択で)選択範囲を削除
Vim,gt|gT,gt|gT,(netrwで)前後のタブに移動
Vim,r,r,(矩形選択で)選択範囲を1文字に置換
Vim,I,I,(矩形選択で)選択先頭にインサートモード
Vim,y,y,(矩形選択で)選択範囲にyank
Vim,<n>G,<n>G,n行目に移動
Vim,/<文字>|?<文字>,/<文字>|?<文字>,検索
Vim,ctrl + h|l,ctrl + h|l,行頭・行末に移動 ※カスタム
Vim,ctrl + r,-,戻しすぎた変更を戻す(redo)
Vim,ctrl + r,-,コマンド履歴を表示(fzf) ※カスタム
Vim,ctrl + v→ ctrl + i,-,矩形選択のビジュアルモード→挿入モード
Vim,ctrl + w→ hjkl,-,分割ウィンドウの上下左右移動
Vim,q:,q:,コマンドラインウィンドウ(履歴)表示
Vim,q/|q?,q/|q?,コマンド履歴の前方/後方検索
Vim,q: → ctrl + c,-,コマンドラインに履歴を送る
Vim,:n,:n,複数ファイルを編集中は次のファイルへ移動
Vim,:p,:p,複数ファイルを編集中は前のファイルへ移動
Vim,:q,:q,終了
Vim,:q!,:q!,ファイル保存せず終了
Vim,:w,:w,保存
Vim,:x,:x,保存して終了(変更なしは保存しない)
Vim,:wq,:wq,保存して終了(変更なしも保存)
Vim,:<n>,:<n>,n行目に移動
Vim(fern),a -> action,a -> action,アクション名を実行
Vim(fern),E,E,別ウィンドウで開く
Vim(fern),del,del,親フォルダに移動
Vim(fern),(カンマ)b,(カンマ)b,ファイラーの開閉 ※カスタム
Vim(fern),(カンマ)e,(カンマ)e,ファイラーを開く ※カスタム
VSCode,ctrl + c,CapsLk + c(shift + alt + c),(GitHub)コメントを追加 ※カスタム
VSCode,ctrl + g,CapsLk + g(shift + alt + g),選択行に移動
VSCode,ctrl + r,-,最近開いたファイルやフォルダ
VSCode,ctrl + q,-,QuickOpenView(各フォームにフォーカス)
VSCode,ctrl + w,CapsLk + w(shift + alt + w),ウィンドウの切り替え
VSCode,ctrl + x,CapsLk + x(shift + alt + x),コマンドパレットを表示 ※カスタム
VSCode,ctrl + z → ctrl + a,CapsLk + z → CapsLk + a(shift + alt + z → shift + alt + a),前に移動 ※カスタム
VSCode,ctrl + z → ctrl + q,CapsLk + z → CapsLk + q(shift + alt + z → shift + alt + q),最近開いたファイルに移動 ※カスタム
VSCode,ctrl + z → ctrl + s,CapsLk + z → CapsLk + s(shift + alt + z → shift + alt + s),再帰的に展開する ※カスタム
VSCode,ctrl + z → ctrl + x,CapsLk + z → CapsLk + x(shift + alt + z → shift + alt + x),再帰的に折りたたむ ※カスタム
VSCode,ctrl + z → ctrl + z,CapsLk + z → CapsLk + z(shift + alt + z → shift + alt + z),定義元へ移動 ※カスタム
VSCode,ctrl + -,-,定義に戻る
VSCode,ctrl + [],CapsLk + [](shift + alt + []),エディタの幅を縮小/拡大 ※カスタム
VSCode,ctrl + shift + [],CapsLk + shift + [](ctrl + shift + alt + []),エディタの高さを縮小/拡大 ※カスタム
VSCode,cmd + d,ctrl + d,タブ(エディタ)を下のグループに移動 ※カスタム
VSCode,cmd + d,ctrl + d,[diff editor]逆側のエディタにフォーカス ※カスタム
VSCode,cmd + e,ctrl + e,アクティブなエディタグループにフォーカス ※カスタム
VSCode,cmd + j,ctrl + j,パネルの表示/非表示の切り替え
VSCode,cmd + l,ctrl + l,行全体を選択
VSCode,cmd + o,ctrl + o,[diff editor]元のファイルを開く
VSCode,cmd + r,ctrl + r,ウィンドウの再読み込み(Reload Window)
VSCode,cmd + space,ctrl + space,プレビューモードの解除 ※カスタム
VSCode,cmd + [],ctrl + [],空白行へ上下移動 ※カスタム
VSCode,cmd + ↑↓,ctrl + ↑↓,先頭/末尾に移動
VSCode,cmd + ↑↓,ctrl + ↑↓,入力コントロールと結果の間を移動
VSCode,cmd + .,ctrl + .,(マークダウン)URLペースト時のコントロールを選択
VSCode,cmd + ctrl + e,ctrl + CapsLk + e(ctrl + shift + alt + e),エクスプローラ:開いているエディタビューにフォーカス ※カスタム
VSCode,cmd + ctrl + g,ctrl + CapsLk + g(ctrl + shift + alt + g),(GitHub)GitHubPRビューにフォーカス ※カスタム
VSCode,cmd + ctrl + j,ctrl + CapsLk + j(ctrl + shift + alt + j),(Jumpy)選択ラインに移動 ※カスタム
VSCode,cmd + ctrl + ↑↓,ctrl + CapsLk + ↑↓(ctrl + shift + alt + ↑↓),(metaGo)1行上下選択 ※カスタム
VSCode,cmd + shift + b,ctrl + shift + b,(labeled bookmark)Bookmark登録 ※カスタム
VSCode,cmd + shift + d,ctrl + shift + d,タブ(エディタ)を上のグループに移動 ※カスタム
VSCode,cmd + shift + d,ctrl + shift + d,[diff editor]sidebyside表示の切り替え ※カスタム
VSCode,cmd + shift + e,ctrl + shift + e,エディタにフォーカス
VSCode,cmd + shift + g,ctrl + shift + g,(GitHub)Gitにフォーカス ※カスタム
VSCode,cmd + shift + j,ctrl + shift + j,(Jumpy)選択ワードに移動 ※カスタム
VSCode,cmd + shift + k,ctrl + shift + k,選択行を削除
VSCode,cmd + shift + m,ctrl + shift + m,問題を表示
VSCode,cmd + shift + o,ctrl + shift + o,ファイルシンボルを表示
VSCode,cmd + shift + r,ctrl + shift + r,(GitHub)コメントにフォーカス ※カスタム
VSCode,cmd + shift + w,ctrl + shift + w,ウィンドウを閉じる
VSCode,cmd + shift + 2,ctrl + shift + 2,(ToggleQuotes)Quotoの切り替え ※カスタム
VSCode,cmd + shift + ¥,ctrl + shift + ¥,対になるブラケットに移動
VSCode,cmd + shift + [],ctrl + PgUp/PgDown,タブ切り替え
VSCode,cmd + shift + option + [],ctrl + shift + PgUp/PgDown,タブの位置移動 ※カスタム
VSCode,cmd + shift + option + ←↓↑→,ctrl + alt + Home/PgDown/PgUp/End,矩形選択(絡む選択)
VSCode,cmd + option + b,ctrl + alt + b,(labeled bookmark)Active Groupにフォーカスする ※カスタム
VSCode,cmd + option + c,ctrl + alt + c,(Error lens)エラーのcodeをコピー ※カスタム
VSCode,cmd + option + d,ctrl + alt + d,右に分割 ※カスタム
VSCode,cmd + option + e,ctrl + alt + e,開いているファイルのエクスプローラにフォーカス ※カスタム
VSCode,cmd + option + g,ctrl + alt + g,(GitHub)GitHubのビューにフォーカス ※カスタム
VSCode,cmd + option + h,ctrl + alt + h,history(タイムライン)にフォーカス ※カスタム
VSCode,cmd + option + i,ctrl + alt + i,開発者ツールの切り替え(chromeのconsoleキーと同じ)
VSCode,cmd + option + j,ctrl + alt + j,開発者コンテキストキー(when句)の調査(Developer: Inspect Context Keys) ※カスタム
VSCode,cmd + option + t,ctrl + alt + t,(Tab Groups)Tab Groupsビューにフォーカス ※カスタム
VSCode,cmd + option + v,ctrl + alt + v,(vscodevim)vscodevimの有効無効切り替え ※カスタム
VSCode,cmd + option + shift + d,-,下に分割 ※カスタム
VSCode,cmd + option + shift + g,-,(GitHub)下に分割 ※カスタム
VSCode,cmd + option + space,ctrl + alt + space,ホバーの表示 ※カスタム
VSCode,cmd + option + [],ctrl + shift + [],折りたたみ
VSCode,cmd + option + l,alt + l,選択範囲内で検索(FindinSelection)ON/OFF
VSCode,cmd + option + ←→,ctrl + alt + ←→,選択範囲の縮小/拡大 ※カスタム
VSCode,cmd + option + ↑↓,ctrl + alt + ↑↓,マルチカーソル
VSCode,cmd + option + 0,ctrl + alt + 0,(vscode-input-sequence)マルチカーソル+連番
VSCode,cmd + k → cmd + <num>,ctrl + k → ctrl + <num>,タグを<num>レベルで閉じる
VSCode,cmd + k → cmd + j,ctrl + k → ctrl + j,閉じタグをすべて開く
VSCode,cmd + k → cmd + m,ctrl + k → ctrl + m,EditorGroupを最大化する(toggleMaximizeEditorGroup)
VSCode,cmd + k → cmd + [,ctrl + k → ctrl + [,再帰的に折りたたむ
VSCode,cmd + k → cmd + ],ctrl + k → ctrl + ],再起的に展開する
VSCode,option + h,alt + h,(gitlens)ブランチの履歴表示
VSCode,option + p,alt + p,現在開いているファイルパスをコピー ※カスタム
VSCode,option + ↑↓,alt + ↑↓,行を入れ替え
VSCode,option + /,alt + /,(gitlens)Git Blame表示 ※カスタム
VSCode,option + (カンマ)|.,alt + (カンマ)|.,(gitlens)前/後のRevisionとの差分を表示
VSCode,option + shift + ↑↓,alt + shift + ↑↓,行をコピー
VSCode,option + shift + .,alt + shift + .,(gitlens)現ファイルとの差分を表示
VSCode,option + shift + (カンマ),alt + shift + (カンマ),(gitlens)カーソル行での前Revisionの差分を表示
VSCode(コマンドパレット),Excel to Markdown table,-,(Excel to Markdown table)スプレッドシートをmarkdown表に変換
VSCode(コマンドパレット),Emmet: Wrap with Abbreviation,-,タグで囲む
VSCode(コマンドパレット),Developer: Inspect Context Keys,-,開発者コンテキストキー(when句)の調査
VSCode(コマンドパレット),Developer: Show Running Extensions,-,拡張機能の表示
VSCode(コマンドパレット),Developer: Startup Performance,-,スタートアップパフォーマンス表示
zsh/terminal,ctrl + a,CapsLk + a(shift + alt + a),先頭に戻る(beginning-of-line)
zsh/terminal,ctrl + c,ctrl + c,割り込みシグナルを送る(kill -INT/intrシグナル)
zsh/terminal,ctrl + e,CapsLk + e(shift + alt + e),末尾に進む(end-of-line)
zsh/terminal,ctrl + h,CapsLk + h(shift + alt + h),1文字削除(backward-delete-char)
zsh/terminal,ctrl + i,CapsLk + i(shift + alt + i),補完展開(expand-or-complete)
zsh/terminal,ctrl + k,CapsLk + k(shift + alt + k),カーソル後削除(kill-line)
zsh/terminal,ctrl + l,CapsLk + l(shift + alt + l),スクリーンclear(clear-screen)
zsh/terminal,ctrl + n,CapsLk + n(shift + alt + n),次のコマンド履歴を表示(down-line-or-hisotry→history-search-forward)
zsh/terminal,ctrl + p,CapsLk + p(shift + alt + p),前のコマンド履歴を表示(up-line-or-hisotry→history-search-backward)
zsh/terminal,ctrl + q,CapsLk + q(shift + alt + q),画面の出力を再開する(startシグナル)
zsh/terminal,ctrl + r,CapsLk + r(shift + alt + r),履歴後方検索(history-incremental-search-backward)
zsh/terminal,ctrl + s,CapsLk + s(shift + alt + s),履歴前方検索(history-incremental-search-forward)
zsh/terminal,ctrl + s,CapsLk + s(shift + alt + s),画面の出力を停止する(stopシグナル)
zsh/terminal,ctrl + u,CapsLk + u(shift + alt + u),カーソル前削除(kill-whole-line)
zsh/terminal,ctrl + v,CapsLk + v(shift + alt + v),特殊文字(^[=Escや^M=エンターなど)の入力(quoted-insert)
zsh/terminal,ctrl + w,CapsLk + w(shift + alt + w),1単語の削除(backward-kill-word)
zsh/terminal,ctrl + z,CapsLk + z(shift + alt + z),停止シグナルを送る(suspシグナル)
zsh/terminal,Esc → b,Esc → b,1単語戻る(backward-word)
zsh/terminal,Esc → f,Esc → f,1単語進む(forward-word)
